姓名,性别,手机号,邮箱,微信号,居住地,求职意向,个人简介,教育经历,工作/实践经历,项目经验,技能特长,自我评价
贾一诺,女,15925230767,jia一nuo12@outlook.com,13435695559,漳州,"期望岗位：算法工程师
期望城市：漳州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",1年算法工程师工作经验，精通SQL、机器学习技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"深圳职业技术学院 | 电子信息工程 | 专科
毕业时间：2021年6月
核心课程：算法设计与分析、操作系统、机器学习、软件工程","【美图公司】 算法工程师
2025年9月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审","■ 个性化推荐系统
  项目目标：提升内容推荐精准度，增加用户停留时长
  个人职责：负责协同过滤、深度学习推荐模型开发与离线优化
  项目成果：用户平均停留时长提升25%，点击率提升15%

■ 风控欺诈识别模型
  项目目标：识别交易欺诈行为，降低资金损失风险
  个人职责：特征工程，构建XGBoost风控模型，在线部署与迭代
  项目成果：欺诈识别准确率达92%，每年减少损失超200万","专业技能：算法优化、PyTorch、SQL、特征工程、推荐算法、TensorFlow、深度学习
相关证书：系统架构设计师",拥有1年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
宋玲,女,13889465807,songling69@126.com,18461235134,深圳,"期望岗位：算法工程师
期望城市：深圳
期望行业：互联网/信息技术/软件服务
期望薪资：面议",2年算法工程师工作经验，精通机器学习、机器学习技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"暨南大学 | 数学与应用数学 | 本科
毕业时间：2020年6月
核心课程：Java程序设计、操作系统、算法设计与分析、数据结构","【启明网络科技有限公司】 算法工程师
2025年11月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务

【通元软件有限公司】 算法工程师
2024年1月 - 2025年7月
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务","■ 个性化推荐系统
  项目目标：提升内容推荐精准度，增加用户停留时长
  个人职责：负责协同过滤、深度学习推荐模型开发与离线优化
  项目成果：用户平均停留时长提升25%，点击率提升15%

■ 风控欺诈识别模型
  项目目标：识别交易欺诈行为，降低资金损失风险
  个人职责：特征工程，构建XGBoost风控模型，在线部署与迭代
  项目成果：欺诈识别准确率达92%，每年减少损失超200万","专业技能：推荐算法、机器学习、深度学习、PyTorch、数据结构、算法优化、TensorFlow、NLP、特征工程、计算机视觉
相关证书：英语六级、软考中级",拥有2年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
罗阳,男,13269109213,luoyang59@gmail.com,18688748295,莆田,"期望岗位：算法工程师
期望城市：莆田
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科网络工程专业应届毕业生，掌握NLP、Python基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事算法工程师相关工作。,"江西交通职业技术学院 | 网络工程 | 专科
毕业时间：2022年6月
核心课程：软件工程、Python编程、数据结构、操作系统","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 手写数字识别（课程作业）
  项目目标：基于MNIST数据集实现手写数字识别
  个人职责：使用CNN搭建模型，训练与调优
  项目成果：识别准确率达到92%","专业技能：数据结构、算法优化、SQL、机器学习、计算机视觉、特征工程
相关证书：无",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
方凯,男,18760062412,fangkai677@126.com,wx_fangkai_592,南昌,"期望岗位：Python开发工程师
期望城市：南昌
期望行业：互联网/信息技术/软件服务
期望薪资：面议",2年Python开发工程师工作经验，精通Git、Linux技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"苏州职业大学 | 计算机应用技术 | 专科
毕业时间：2020年6月
核心课程：数据库原理、操作系统、数据结构、数字信号处理","【博思互联网科技有限公司】 Python开发工程师
2025年5月 - 至今
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 负责公司Python开发工程师相关业务的开发与维护，参与需求评审

【用友数据技术有限公司】 Python开发工程师
2024年1月 - 2025年6月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务","■ 数据采集爬虫系统
  项目目标：搭建分布式爬虫平台，采集多渠道公开数据
  个人职责：负责反爬策略破解、数据清洗、入库逻辑开发
  项目成果：日均采集数据50万条，数据准确率98%以上

■ 自动化运维平台
  项目目标：开发运维管理平台，实现服务器批量管理
  个人职责：负责监控、告警、任务调度模块后端开发
  项目成果：管理服务器200+，运维人力成本降低50%","专业技能：MongoDB、爬虫、Flask、Linux、Docker、Redis、Celery、FastAPI、Django
相关证书：英语四级",拥有2年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
于慧,女,13271464876,yuhui84@gmail.com,15815400799,厦门,"期望岗位：Java开发工程师
期望城市：厦门
期望行业：互联网/信息技术/软件服务
期望薪资：面议",6年Java开发工程师资深经验，精通全链路技术架构，具备团队技术规划与方案设计能力，主导过多个大型项目重构与升级，在高并发/系统稳定性领域有深厚积累，能够带领团队攻克技术难题，驱动业务技术升级。,"浙江工业大学 | 网络工程 | 本科
毕业时间：2016年6月
核心课程：操作系统、数据库原理、Java程序设计、Python编程","【汇智软件有限公司】 Java开发工程师
2024年9月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【天擎科技有限公司】 Java开发工程师
2022年9月 - 2024年12月
    · 负责公司Java开发工程师相关业务的开发与维护，参与需求评审
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行

【科创科技有限公司】 Java开发工程师
2020年8月 - 2022年3月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ 电商订单交易系统
  项目目标：搭建高可用电商订单系统，支撑大促流量峰值
  个人职责：负责订单创建、支付回调、库存扣减核心逻辑开发
  项目成果：支撑日均订单量10万+，系统可用性达99.95%

■ 微服务用户中心重构
  项目目标：将单体用户系统拆分为微服务架构，提升并发承载能力
  个人职责：负责登录、注册、权限模块开发，优化数据库查询与缓存策略
  项目成果：支持并发量从500提升至5000，接口响应耗时减少60%","专业技能：SpringBoot、MySQL、Java、MyBatis、JVM调优、RabbitMQ、Docker、Git、微服务
相关证书：MySQL数据库认证、PMP项目管理专业人士",拥有6年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
曾语桐,女,15381837516,zeng语tong493@163.com,wx_zeng语tong_167,龙岩,"期望岗位：算法工程师
期望城市：龙岩
期望行业：互联网/信息技术/软件服务
期望薪资：面议",1年算法工程师工作经验，精通PyTorch、Python技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"厦门大学 | 计算机应用技术 | 本科
毕业时间：2021年6月
核心课程：数字信号处理、算法设计与分析、Python编程、机器学习","【微远科技有限公司】 算法工程师
2025年1月 - 至今
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务","■ 风控欺诈识别模型
  项目目标：识别交易欺诈行为，降低资金损失风险
  个人职责：特征工程，构建XGBoost风控模型，在线部署与迭代
  项目成果：欺诈识别准确率达92%，每年减少损失超200万

■ 个性化推荐系统
  项目目标：提升内容推荐精准度，增加用户停留时长
  个人职责：负责协同过滤、深度学习推荐模型开发与离线优化
  项目成果：用户平均停留时长提升25%，点击率提升15%","专业技能：算法优化、NLP、SQL、TensorFlow、机器学习、深度学习、Python
相关证书：红帽RHCE认证",拥有1年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
金皓,男,13916713368,jinhao9489@126.com,15973343839,珠海,"期望岗位：Python开发工程师
期望城市：珠海
期望行业：互联网/信息技术/软件服务
期望薪资：面议",3年Python开发工程师工作经验，精通爬虫、Celery技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"南京工程学院 | 计算机应用技术 | 本科
毕业时间：2019年6月
核心课程：软件工程、数据结构、Java程序设计、算法设计与分析","【科创互联网科技有限公司】 Python开发工程师
2025年4月 - 至今
    · 负责公司Python开发工程师相关业务的开发与维护，参与需求评审
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行

【汇智互联网科技有限公司】 Python开发工程师
2024年8月 - 2025年4月
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复","■ 数据采集爬虫系统
  项目目标：搭建分布式爬虫平台，采集多渠道公开数据
  个人职责：负责反爬策略破解、数据清洗、入库逻辑开发
  项目成果：日均采集数据50万条，数据准确率98%以上

■ 自动化运维平台
  项目目标：开发运维管理平台，实现服务器批量管理
  个人职责：负责监控、告警、任务调度模块后端开发
  项目成果：管理服务器200+，运维人力成本降低50%","专业技能：Docker、MySQL、爬虫、Flask、Celery、Django、MongoDB、Git
相关证书：无",拥有3年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
孟瑶,女,18735564343,mengyao05@gmail.com,wx_mengyao_212,深圳,"期望岗位：算法工程师
期望城市：深圳
期望行业：互联网/信息技术/软件服务
期望薪资：面议",3年算法工程师工作经验，精通计算机视觉、算法优化技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"厦门大学 | 软件技术 | 本科
毕业时间：2019年6月
核心课程：算法设计与分析、数字信号处理、数据库原理、Python编程","【汇智科技有限公司】 算法工程师
2025年6月 - 至今
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务

【东软科技有限公司】 算法工程师
2024年6月 - 2025年11月
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务","■ 风控欺诈识别模型
  项目目标：识别交易欺诈行为，降低资金损失风险
  个人职责：特征工程，构建XGBoost风控模型，在线部署与迭代
  项目成果：欺诈识别准确率达92%，每年减少损失超200万

■ 个性化推荐系统
  项目目标：提升内容推荐精准度，增加用户停留时长
  个人职责：负责协同过滤、深度学习推荐模型开发与离线优化
  项目成果：用户平均停留时长提升25%，点击率提升15%","专业技能：SQL、深度学习、算法优化、TensorFlow、PyTorch、推荐算法、特征工程、机器学习、计算机视觉、Python
相关证书：无",拥有3年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
姚悦,女,15983262437,yaoyue044@163.com,wx_yaoyue_821,东莞,"期望岗位：算法工程师
期望城市：东莞
期望行业：互联网/信息技术/软件服务
期望薪资：面议",本科网络工程专业应届毕业生，掌握算法优化、数据结构基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事算法工程师相关工作。,"南京工程学院 | 网络工程 | 本科
毕业时间：2022年6月
核心课程：Java程序设计、机器学习、数据库原理、Python编程","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 电影推荐系统（毕设）
  项目目标：基于协同过滤实现简单电影推荐
  个人职责：数据处理、模型实现、效果验证
  项目成果：召回准确率达到75%","专业技能：算法优化、计算机视觉、特征工程、数据结构
相关证书：无",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
傅雨泽,男,18061172134,fu雨ze177@qq.com,13688556981,三明,"期望岗位：算法工程师
期望城市：三明
期望行业：互联网/信息技术/软件服务
期望薪资：面议",3年算法工程师工作经验，精通SQL、机器学习技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"浙江工业大学 | 网络工程 | 本科
毕业时间：2019年6月
核心课程：软件工程、操作系统、Java程序设计、算法设计与分析","【中软科技有限公司】 算法工程师
2025年7月 - 至今
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【安硕信息技术有限公司】 算法工程师
2024年7月 - 2025年7月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ 风控欺诈识别模型
  项目目标：识别交易欺诈行为，降低资金损失风险
  个人职责：特征工程，构建XGBoost风控模型，在线部署与迭代
  项目成果：欺诈识别准确率达92%，每年减少损失超200万

■ 个性化推荐系统
  项目目标：提升内容推荐精准度，增加用户停留时长
  个人职责：负责协同过滤、深度学习推荐模型开发与离线优化
  项目成果：用户平均停留时长提升25%，点击率提升15%","专业技能：PyTorch、SQL、算法优化、深度学习、Python、NLP、特征工程、推荐算法
相关证书：华为HCIA认证",拥有3年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
郑鑫,男,18729302135,zhengxin3935@126.com,wx_zhengxin_295,福州,"期望岗位：算法工程师
期望城市：福州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",3年算法工程师从业经验，精通PyTorch技术架构，主导过中型项目从0到1落地，擅长技术方案设计与性能优化，曾推动核心模块技术重构，带来显著效率提升，具备跨部门协作与项目推进能力。,"福州大学 | 数据科学与大数据技术 | 本科
毕业时间：2019年6月
核心课程：软件工程、数字信号处理、数据结构、数据库原理","【星图信息技术有限公司】 算法工程师
2025年3月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审

【天擎网络科技有限公司】 算法工程师
2024年1月 - 2025年3月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 对接产品、测试团队，跟进需求落地与缺陷修复","■ 风控欺诈识别模型
  项目目标：识别交易欺诈行为，降低资金损失风险
  个人职责：特征工程，构建XGBoost风控模型，在线部署与迭代
  项目成果：欺诈识别准确率达92%，每年减少损失超200万

■ 个性化推荐系统
  项目目标：提升内容推荐精准度，增加用户停留时长
  个人职责：负责协同过滤、深度学习推荐模型开发与离线优化
  项目成果：用户平均停留时长提升25%，点击率提升15%","专业技能：深度学习、NLP、Python、PyTorch、TensorFlow、特征工程、推荐算法、SQL、算法优化
相关证书：阿里云ACP云计算认证、计算机一级、华为HCIA认证",拥有3年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
李芳,女,13202881417,lifang0382@outlook.com,15267229396,泉州,"期望岗位：算法工程师
期望城市：泉州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",本科数据科学与大数据技术专业应届毕业生，掌握数据结构、机器学习基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事算法工程师相关工作。,"佛山科学技术学院 | 数据科学与大数据技术 | 本科
毕业时间：2022年6月
核心课程：数字信号处理、操作系统、计算机网络、Python编程","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 手写数字识别（课程作业）
  项目目标：基于MNIST数据集实现手写数字识别
  个人职责：使用CNN搭建模型，训练与调优
  项目成果：识别准确率达到92%","专业技能：特征工程、计算机视觉、SQL、TensorFlow、算法优化、深度学习、PyTorch
相关证书：计算机一级、英语四级",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
高雨泽,男,18854251174,gao雨ze1136@gmail.com,wx_gao雨ze_326,莆田,"期望岗位：后端开发工程师
期望城市：莆田
期望行业：互联网/信息技术/软件服务
期望薪资：面议",本科软件工程专业应届毕业生，有1段后端开发工程师实习经验，掌握Redis技术栈，参与过实习项目开发，具备良好的代码规范与团队协作意识，能够快速上手业务，期望正式入职发展。,"福建农林大学 | 软件工程 | 本科
毕业时间：2021年6月
核心课程：Java程序设计、操作系统、软件工程、数据库原理","【智联数据技术有限公司】 后端开发工程师（实习）
2025年1月 - 至今
    · 负责公司后端开发工程师相关业务的开发与维护，参与需求评审
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ 图书管理系统后端
  项目目标：实现图书借阅、归还、用户管理功能
  个人职责：负责接口开发与数据库表结构设计
  项目成果：完成核心功能，支持1000条数据量

■ 简单论坛系统
  项目目标：实现帖子发布、回复、板块管理
  个人职责：负责后端服务开发与接口文档编写
  项目成果：支持百人同时在线访问","专业技能：微服务、Docker、SpringBoot、PostgreSQL
相关证书：计算机二级",有实习经验，熟悉开发基本流程，具备基础的项目实践能力；学习能力强，能够快速上手新业务新技术；工作踏实，责任心强，善于沟通协作，能够高效完成分配的工作任务。
曾峰,男,15128901783,zengfeng672@outlook.com,wx_zengfeng_426,苏州,"期望岗位：软件测试工程师
期望城市：苏州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",2年软件测试工程师工作经验，精通MySQL、接口测试技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"东南大学 | 数字媒体技术 | 本科
毕业时间：2020年6月
核心课程：数据结构、操作系统、计算机网络、Python编程","【腾讯（深圳分公司）】 软件测试工程师
2025年10月 - 至今
    · 负责公司软件测试工程师相关业务的开发与维护，参与需求评审
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务

【星图互联网科技有限公司】 软件测试工程师
2024年3月 - 2025年1月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司软件测试工程师相关业务的开发与维护，参与需求评审","■ 自动化测试框架搭建
  项目目标：提升回归测试效率，减少人工重复劳动
  个人职责：基于Selenium搭建UI自动化框架，编写核心模块测试脚本
  项目成果：回归测试周期从7天缩短至2天，覆盖率达85%

■ 电商平台功能测试
  项目目标：保障电商系统上线质量，覆盖全业务流程
  个人职责：设计测试用例，执行功能、回归测试，提交缺陷报告
  项目成果：发现并修复120+缺陷，上线后线上缺陷率低于0.5%","专业技能：MySQL、JMeter、缺陷管理、Selenium、Python、测试用例设计、接口测试、TestNG
相关证书：系统架构设计师",拥有2年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
魏平,男,13275382244,weiping5605@126.com,wx_weiping_495,广州,"期望岗位：后端开发工程师
期望城市：广州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",10年后端开发工程师资深经验，精通全链路技术架构，具备团队技术规划与方案设计能力，主导过多个大型项目重构与升级，在高并发/系统稳定性领域有深厚积累，能够带领团队攻克技术难题，驱动业务技术升级。,"厦门理工学院 | 信息管理与信息系统 | 本科
毕业时间：2012年6月
核心课程：软件工程、数据库原理、数据结构、机器学习","【易联数据技术有限公司】 后端开发工程师
2023年6月 - 至今
    · 负责公司后端开发工程师相关业务的开发与维护，参与需求评审
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务

【信雅数据技术有限公司】 后端开发工程师
2020年8月 - 2023年11月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司后端开发工程师相关业务的开发与维护，参与需求评审
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务

【新科数据技术有限公司】 后端开发工程师
2017年11月 - 2020年7月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司后端开发工程师相关业务的开发与维护，参与需求评审","■ 内容管理系统后端
  项目目标：搭建CMS系统后端服务，支持多站点内容发布
  个人职责：负责文章、栏目、权限模块接口开发，设计数据库表结构
  项目成果：支撑8个站点同时运营，内容发布效率提升3倍

■ 即时通讯服务开发
  项目目标：实现企业内部IM系统后端消息推送与存储
  个人职责：负责消息队列、离线消息、会话管理模块开发
  项目成果：支持万人同时在线，消息送达延迟低于100ms","专业技能：Python、PostgreSQL、Redis、SpringBoot、K8s、Java
相关证书：英语六级",拥有10年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
曹洋,男,15647011966,caoyang105@qq.com,18926405764,莆田,"期望岗位：算法工程师
期望城市：莆田
期望行业：互联网/信息技术/软件服务
期望薪资：面议",6年算法工程师资深经验，精通全链路技术架构，具备团队技术规划与方案设计能力，主导过多个大型项目重构与升级，在高并发/系统稳定性领域有深厚积累，能够带领团队攻克技术难题，驱动业务技术升级。,"佛山科学技术学院 | 通信工程 | 本科
毕业时间：2016年6月
核心课程：操作系统、数据结构、数字信号处理、数据库原理","【网易（杭州）】 算法工程师
2024年6月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【汇智网络科技有限公司】 算法工程师
2022年6月 - 2024年4月
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行

【锐捷科技有限公司】 算法工程师
2020年1月 - 2022年7月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ 风控欺诈识别模型
  项目目标：识别交易欺诈行为，降低资金损失风险
  个人职责：特征工程，构建XGBoost风控模型，在线部署与迭代
  项目成果：欺诈识别准确率达92%，每年减少损失超200万

■ 个性化推荐系统
  项目目标：提升内容推荐精准度，增加用户停留时长
  个人职责：负责协同过滤、深度学习推荐模型开发与离线优化
  项目成果：用户平均停留时长提升25%，点击率提升15%","专业技能：SQL、PyTorch、特征工程、深度学习、NLP、TensorFlow、算法优化、Python
相关证书：华为HCIA认证、阿里云ACP云计算认证",拥有6年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
刘安然,女,13683256588,liuanran2984@126.com,18443281485,宁波,"期望岗位：软件测试工程师
期望城市：宁波
期望行业：互联网/信息技术/软件服务
期望薪资：面议",3年软件测试工程师从业经验，精通功能测试技术架构，主导过中型项目从0到1落地，擅长技术方案设计与性能优化，曾推动核心模块技术重构，带来显著效率提升，具备跨部门协作与项目推进能力。,"东南大学 | 电子信息工程 | 本科
毕业时间：2019年6月
核心课程：计算机网络、操作系统、软件工程、Java程序设计","【携程（厦门）】 软件测试工程师
2025年7月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 负责公司软件测试工程师相关业务的开发与维护，参与需求评审
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【天擎信息技术有限公司】 软件测试工程师
2024年11月 - 2025年2月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复","■ 自动化测试框架搭建
  项目目标：提升回归测试效率，减少人工重复劳动
  个人职责：基于Selenium搭建UI自动化框架，编写核心模块测试脚本
  项目成果：回归测试周期从7天缩短至2天，覆盖率达85%

■ 电商平台功能测试
  项目目标：保障电商系统上线质量，覆盖全业务流程
  个人职责：设计测试用例，执行功能、回归测试，提交缺陷报告
  项目成果：发现并修复120+缺陷，上线后线上缺陷率低于0.5%","专业技能：接口测试、Selenium、Python、TestNG、功能测试、JMeter、性能测试、MySQL
相关证书：无",拥有3年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
龙若曦,女,15953799660,long若xi3481@gmail.com,wx_long若xi_322,宁波,"期望岗位：前端开发工程师
期望城市：宁波
期望行业：互联网/信息技术/软件服务
期望薪资：面议",本科计算机科学与技术专业应届毕业生，掌握CSS3、React基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事前端开发工程师相关工作。,"福州大学 | 计算机科学与技术 | 本科
毕业时间：2022年6月
核心课程：操作系统、Java程序设计、数据库原理、数字信号处理","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 校园社团官网（实训项目）
  项目目标：为学校社团开发官方展示网站
  个人职责：负责首页、新闻页、成员页开发
  项目成果：上线后访问量累计5000+","专业技能：移动端适配、JavaScript、React、HTML5
相关证书：无",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
